0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2.920598,-0.344495,0.769356,-0.049934,0.002679,0.998272,-0.030854,0.059111,-0.145059,-0.153065,0.717753,0.138893,-0.243734,-0.52258,0.0503,-0.136628,0.440439,-0.030143,0.033215,-0.115406,0.061804,0.024709,-0.057778,0.096946,-0.499954,1.021741,0.856831,0.171304,0.035697,0.29869,-0.004534,-0.104854,0.671569,-0.747564,0.211612,-0.160209
2.901957,-0.343142,0.768827,-0.049377,-0.008295,0.997893,-0.041275,-0.035972,-0.114417,-0.092324,0.896328,0.200617,-0.247595,-0.497512,0.059321,-0.165851,0.446712,-0.064627,0.047677,-0.120322,0.082883,0.030746,-0.042381,0.14483,-0.565344,0.998825,0.897316,0.125638,-0.016586,0.2751,0.004008,-0.101534,0.666055,-0.741756,0.186869,-0.17108
2.882999,-0.341669,0.768109,-0.046668,-0.020505,0.997399,-0.050961,-0.13133,-0.076613,-0.06607,1.059093,0.19382,-0.247741,-0.466959,0.072844,-0.195409,0.451762,-0.099087,0.064525,-0.119955,0.104044,0.037511,-0.019149,0.19898,-0.613119,0.9494,0.920341,0.080782,-0.035493,0.265183,0.007244,-0.088178,0.675439,-0.744441,0.139864,-0.191682
2.863161,-0.340122,0.767717,-0.041504,-0.032528,0.996932,-0.05785,-0.220218,-0.04826,-0.087451,1.185773,0.136138,-0.24757,-0.424161,0.093092,-0.2189,0.44584,-0.130991,0.07975,-0.112704,0.125625,0.044372,0.014931,0.24481,-0.623409,0.887957,0.905688,0.05693,-0.024761,0.242775,0.005556,-0.069831,0.68081,-0.753435,0.108505,-0.203741
2.842696,-0.338699,0.767384,-0.035027,-0.044664,0.996439,-0.062344,-0.302761,-0.009167,-0.116634,1.268047,0.086353,-0.243217,-0.375277,0.119306,-0.235936,0.434283,-0.159888,0.089671,-0.100992,0.146336,0.051175,0.059279,0.276824,-0.59886,0.827423,0.855612,0.057184,0.004104,0.216517,0.002026,-0.051362,0.686213,-0.764388,0.08838,-0.212314
2.821886,-0.337442,0.767058,-0.028228,-0.055553,0.995951,-0.064795,-0.379987,0.042532,-0.122425,1.304374,0.034242,-0.186916,-0.325139,0.147422,-0.245769,0.422032,-0.185467,0.09489,-0.087323,0.164776,0.057296,0.111004,0.299014,-0.551999,0.773856,0.786705,0.06938,0.041561,0.181757,-0.00424,-0.039511,0.704997,-0.776337,0.07472,-0.217037
2.801056,-0.336379,0.766735,-0.021818,-0.064672,0.995606,-0.064108,-0.447838,0.089225,-0.123417,1.292093,-0.035484,-0.123502,-0.278903,0.175262,-0.24725,0.415607,-0.208157,0.094383,-0.070573,0.179458,0.062368,0.159806,0.303818,-0.498761,0.730505,0.722722,0.095469,0.079838,0.149688,-0.009328,-0.029078,0.722648,-0.790188,0.070703,-0.216182
2.780395,-0.335423,0.76663,-0.016329,-0.071213,0.995457,-0.061054,-0.502539,0.115566,-0.124088,1.235048,-0.104838,-0.061854,-0.236549,0.200119,-0.240927,0.413191,-0.228935,0.090395,-0.051428,0.189659,0.065818,0.202625,0.296571,-0.44864,0.69753,0.676273,0.127016,0.118083,0.118857,-0.014285,-0.019654,0.737656,-0.805326,0.073958,-0.210814
2.759985,-0.334599,0.766767,-0.012022,-0.075273,0.995435,-0.057434,-0.544538,0.118268,-0.131417,1.142346,-0.157126,-0.038203,-0.196972,0.21992,-0.230366,0.411965,-0.247641,0.084776,-0.031506,0.194938,0.067433,0.235102,0.273278,-0.41294,0.682708,0.652783,0.161058,0.160957,0.092013,-0.015327,-0.007785,0.744128,-0.819042,0.084048,-0.206271
2.739771,-0.333781,0.767044,-0.009218,-0.076604,0.995507,-0.054893,-0.572654,0.099098,-0.147294,1.017718,-0.176124,-0.04051,-0.156665,0.233979,-0.217981,0.403935,-0.261557,0.078081,-0.012377,0.195491,0.066829,0.256781,0.257328,-0.388973,0.675351,0.643775,0.184797,0.187295,0.068384,-0.020367,0.002063,0.747253,-0.826239,0.088571,-0.202646
2.719747,-0.332865,0.76701,-0.00811,-0.075728,0.995615,-0.05432,-0.5885,0.07499,-0.159619,0.87015,-0.161836,-0.025706,-0.115106,0.243131,-0.206308,0.386638,-0.269909,0.070648,0.004871,0.192074,0.064061,0.268228,0.24613,-0.380811,0.677229,0.646568,0.198834,0.194291,0.048503,-0.02789,0.013576,0.747278,-0.828208,0.086183,-0.201153
2.699856,-0.331939,0.766358,-0.008334,-0.074203,0.995679,-0.055213,-0.598075,0.056481,-0.164461,0.715583,-0.112835,-0.029819,-0.075008,0.249754,-0.197062,0.366615,-0.276259,0.062834,0.019945,0.185872,0.05974,0.26897,0.239564,-0.385271,0.691493,0.6555,0.202253,0.184632,0.035496,-0.037708,0.031762,0.747991,-0.828662,0.074554,-0.203813
2.680038,-0.330995,0.765498,-0.010015,-0.072428,0.995683,-0.057185,-0.602903,0.059636,-0.126675,0.558648,-0.042611,-0.032342,-0.036504,0.255594,-0.188807,0.34267,-0.279255,0.053328,0.032031,0.178947,0.054167,0.267259,0.233451,-0.393051,0.708891,0.668672,0.198724,0.165028,0.019982,-0.05178,0.054849,0.746579,-0.830809,0.063901,-0.199649
2.66001,-0.330131,0.76508,-0.012961,-0.070183,0.995743,-0.058331,-0.596315,0.062983,-0.071226,0.398331,0.008981,-0.030856,0.001359,0.260887,-0.177651,0.315684,-0.280456,0.046995,0.043071,0.171157,0.047614,0.2652,0.224446,-0.396408,0.726444,0.681976,0.1933,0.144358,0.00539,-0.067739,0.080492,0.743384,-0.835148,0.055797,-0.19138
2.639154,-0.329518,0.7673,-0.016118,-0.06844,0.99586,-0.057603,-0.583344,0.054844,-0.035588,0.258623,0.032888,-0.052178,0.039919,0.267907,-0.162979,0.295402,-0.284404,0.044039,0.054058,0.161642,0.040934,0.265904,0.213703,-0.391648,0.742107,0.692934,0.18978,0.129787,-0.006956,-0.081128,0.105422,0.739855,-0.839406,0.050769,-0.182625
2.647605,-0.32822698,0.76688015,-0.019458573,-0.08730926,0.9920579,-0.038178675,-0.61705,0.020125179,-0.08833166,0.23342636,0.026881281,-0.045938738,0.15035525,0.24568143,-0.17478707,0.22021097,-0.31192535,0.07212305,0.058386665,0.16740608,0.010456845,0.22667569,0.2295722,-0.38822475,0.74105203,0.6827085,0.22515652,0.18874565,-0.0015540421,-0.06914745,0.05088015,0.7302111,-0.81364334,0.05660872,-0.20914783
2.6471815,-0.31885386,0.76472056,-0.020159516,-0.080474086,0.9833456,-0.051473737,-0.62530524,0.014448358,-0.08970427,0.21549554,0.043383766,-0.03557093,0.17423978,0.24688107,-0.14545584,0.23413694,-0.3030486,0.08109361,0.066903204,0.1515005,0.011222146,0.21732369,0.21170245,-0.40038258,0.7643255,0.6991617,0.22066674,0.1696513,0.011121854,-0.075795576,0.05882141,0.72056633,-0.8075664,0.056495115,-0.20942953
2.63239,-0.31640893,0.7634415,-0.02363472,-0.073553555,0.97367394,-0.05565709,-0.6009084,0.006875716,-0.090100296,0.20995331,0.061347466,-0.039395593,0.16559425,0.23597103,-0.121765524,0.2633151,-0.2966054,0.08011596,0.07065946,0.1361549,0.01122437,0.20175391,0.19508772,-0.39500016,0.77963966,0.71244663,0.22277564,0.16620922,0.021345466,-0.085550986,0.075691655,0.7186847,-0.79970074,0.06412779,-0.20055804
2.6176019,-0.3183098,0.7625693,-0.026985087,-0.066014856,0.95942926,-0.05561717,-0.5629487,0.0026731528,-0.07785667,0.22980879,0.081725374,-0.04177864,0.15640116,0.21385086,-0.113297924,0.29494324,-0.26117098,0.08778271,0.071253814,0.12199086,0.009540275,0.19119015,0.18082784,-0.39244914,0.80168635,0.7250228,0.2235611,0.15535289,0.039924562,-0.09126515,0.086703055,0.7174516,-0.78956544,0.07422927,-0.19421484
2.60556,-0.3262073,0.7635524,-0.027010478,-0.059011474,0.95697415,-0.05997072,-0.54659086,-0.00025169365,-0.07445433,0.24136543,0.079221524,-0.03923964,0.15765694,0.20397758,-0.11098082,0.30346262,-0.2394394,0.08993541,0.071854144,0.10633939,0.0076063722,0.18534091,0.17306046,-0.38331205,0.8111992,0.72489256,0.21709937,0.15127587,0.04719107,-0.10030919,0.10361763,0.7162034,-0.7901065,0.0756958,-0.18402556
2.5952783,-0.33512205,0.764414,-0.027416985,-0.051468186,0.9568062,-0.059673414,-0.529155,-0.0063380916,-0.071908884,0.25828302,0.07583402,-0.03526508,0.15374401,0.19191718,-0.10921498,0.32377714,-0.21331435,0.09489674,0.073777184,0.090100735,0.006430812,0.18166846,0.16481347,-0.37636423,0.8232151,0.7249334,0.2121291,0.14779745,0.052364863,-0.10928549,0.123332925,0.7174369,-0.79305804,0.07680497,-0.17495453
2.5783968,-0.34933951,0.7658067,-0.028745092,-0.04152241,0.9636601,-0.05051431,-0.5083264,-0.022347385,-0.06312951,0.2746684,0.074692495,-0.024351422,0.14902258,0.17705539,-0.111164786,0.3645152,-0.17335531,0.10530461,0.078345604,0.07245274,0.0038268045,0.18026412,0.15719874,-0.3638418,0.84114695,0.7305573,0.20835623,0.14706609,0.048869103,-0.11237545,0.14619416,0.7299441,-0.801843,0.07847272,-0.16439854
2.5702114,-0.35725167,0.7672168,-0.02874399,-0.031660058,0.9687722,-0.042244107,-0.49056852,-0.038543046,-0.05290062,0.2911896,0.0696304,-0.0119054355,0.13816893,0.15809977,-0.11117956,0.4190138,-0.13608181,0.11589484,0.08355126,0.053573422,0.0028969347,0.17837813,0.14918622,-0.35090217,0.85887396,0.7369171,0.20435256,0.14682637,0.046751127,-0.11768991,0.17143989,0.7392672,-0.8113605,0.07872098,-0.15045317
2.5677197,-0.3652775,0.7685203,-0.026121438,-0.02123292,0.9740864,-0.034438908,-0.47578117,-0.059532627,-0.040697202,0.31168637,0.055973735,0.003726907,0.11217788,0.12845147,-0.10449873,0.5141612,-0.09994496,0.12871386,0.08980635,0.029197827,0.00570596,0.17530122,0.13681054,-0.3376913,0.8804976,0.74402124,0.20121668,0.14876753,0.050854623,-0.12945442,0.2005268,0.74136853,-0.82031476,0.07682915,-0.13033397
2.5634365,-0.36617172,0.769689,-0.023208488,-0.011123121,0.98038864,-0.025015384,-0.4597985,-0.085981846,-0.035900056,0.33207914,0.041453782,0.01730473,0.08239487,0.10165547,-0.09101474,0.6063714,-0.061464474,0.14116654,0.09372796,0.0071966276,0.009384915,0.16608602,0.123418346,-0.32460693,0.9043439,0.758989,0.1986728,0.15020959,0.05554527,-0.14114705,0.22241333,0.7453414,-0.82832175,0.07848378,-0.114143655
2.5669892,-0.36320785,0.77114236,-0.019902576,0.00017162086,0.9946915,-0.008803666,-0.44564408,-0.11755745,-0.038384058,0.3542928,0.028574605,0.03312284,0.05402252,0.07260504,-0.078379296,0.6985812,-0.023768008,0.15262818,0.09857555,-0.01384601,0.013183329,0.15878555,0.10579593,-0.307477,0.928617,0.7785419,0.19483477,0.14894949,0.06039965,-0.15048817,0.24294005,0.7534462,-0.83736455,0.080130965,-0.09849863
2.5696335,-0.35799474,0.7728297,-0.018216573,0.011606475,1.0015118,0.010946482,-0.40741062,-0.1604694,-0.034340777,0.3742518,0.007541259,0.052611176,-0.0021371841,0.032225102,-0.059027396,0.81193435,0.016160525,0.15831906,0.09994994,-0.040351957,0.017505739,0.13645595,0.08177819,-0.2946909,0.94914794,0.7992648,0.18619147,0.15179485,0.07193363,-0.16421011,0.263129,0.76113164,-0.84569395,0.0858506,-0.07861486
2.5508425,-0.37063724,0.77387977,-0.019717667,0.025822578,0.99714565,0.004495412,-0.35607433,-0.19460987,-0.0052597728,0.37234592,-0.037728626,0.06659269,-0.08287454,-0.034940213,-0.06606062,0.92712027,0.04836867,0.17181532,0.09799801,-0.067421526,0.026662618,0.108061366,0.060746565,-0.28497082,0.9467631,0.8169775,0.1726053,0.16727212,0.099930234,-0.19006525,0.2712197,0.7443743,-0.82741594,0.1014816,-0.08118662
2.5275118,-0.377728,0.7749586,-0.019576456,0.038454924,0.99020576,0.0057094395,-0.3114359,-0.2192706,0.011789385,0.37655807,-0.08007314,0.0762341,-0.15947321,-0.08951909,-0.06488101,1.018468,0.05370149,0.18034306,0.0932454,-0.09109391,0.03429292,0.07858584,0.045338005,-0.2724461,0.9350856,0.829721,0.15399906,0.18544823,0.12867004,-0.21086392,0.27398348,0.7225723,-0.8009692,0.112886384,-0.0927711
2.5218024,-0.38526633,0.775512,-0.019113481,0.046383027,0.9868121,0.008165926,-0.27907225,-0.23849583,0.014618963,0.37230974,-0.11043078,0.081157535,-0.21763897,-0.12321766,-0.052475527,1.0661511,0.04792191,0.18048444,0.08398719,-0.10688712,0.04007657,0.051477604,0.035270423,-0.27042097,0.92564344,0.8381053,0.13902482,0.20030212,0.15538135,-0.22080466,0.26831445,0.70006824,-0.78245074,0.12016865,-0.102909006
2.51236,-0.37633547,0.7752702,-0.019733395,0.05574561,0.99303937,0.017424598,-0.24123898,-0.2573703,0.024053892,0.38531408,-0.15688899,0.08680487,-0.30235517,-0.1616224,-0.05187641,1.1212883,0.030026667,0.18450022,0.07504617,-0.12403265,0.048397265,0.01300475,0.027113676,-0.26125285,0.91388094,0.84681207,0.11955619,0.21921098,0.17984,-0.23384884,0.2651459,0.678513,-0.7617704,0.12716618,-0.116710626
2.4958673,-0.3653864,0.7730016,-0.02127996,0.06455475,1.007708,0.0024854243,-0.19807677,-0.27388093,0.017495738,0.40434873,-0.21304086,0.09066287,-0.4108901,-0.19551653,-0.04673721,1.1572556,-0.018207338,0.18134978,0.060451515,-0.14096028,0.060483992,-0.03381545,0.020542309,-0.24979925,0.88283825,0.8515698,0.0932886,0.25042605,0.21889894,-0.24395075,0.255077,0.6523159,-0.7413509,0.13455449,-0.12751299
2.4294057,-0.34417832,0.7716435,-0.019450203,0.069495276,1.0311118,-0.0029970407,-0.14481546,-0.27134782,0.017078513,0.38458058,-0.2442849,0.09823649,-0.47748128,-0.20361754,-0.045171693,1.1235528,-0.060505662,0.17363891,0.050490037,-0.15170059,0.06406684,-0.06274219,0.015136808,-0.23483379,0.8665073,0.8506645,0.080767594,0.26676676,0.24370943,-0.24431193,0.24159643,0.6379233,-0.7286653,0.13982931,-0.12718636
2.3733344,-0.32050973,0.770151,-0.016397037,0.07155633,1.0380355,0.00041215122,-0.0990804,-0.26351333,0.006729817,0.3891615,-0.27771017,0.10125211,-0.53101027,-0.20030786,-0.055920437,0.9925105,-0.11261502,0.1674132,0.0370109,-0.15190914,0.06654272,-0.09688324,0.026611596,-0.2447067,0.844229,0.85878515,0.060143888,0.2584104,0.26320228,-0.23709819,0.2196843,0.6297789,-0.70962954,0.14514929,-0.13972792
2.3284464,-0.31203595,0.7678819,-0.01056373,0.07268692,1.039157,-0.0033098906,-0.043207496,-0.26429862,-0.025313357,0.4078161,-0.2759243,0.093591645,-0.57835233,-0.18355529,-0.049550056,0.8109835,-0.15691572,0.14710662,0.01497177,-0.1414758,0.065705895,-0.13902578,0.042541504,-0.28132334,0.82584774,0.8678144,0.042349033,0.23827519,0.2875268,-0.21467893,0.17855173,0.62696576,-0.69282085,0.15618479,-0.15551317
2.2839274,-0.31847814,0.7664377,-0.0075815497,0.07140726,1.0314487,-0.00013896823,0.0048781633,-0.26435518,-0.05678521,0.4037488,-0.24970378,0.08285293,-0.6083124,-0.1518408,-0.041246116,0.6505021,-0.16354579,0.12372214,-0.0013765655,-0.1280127,0.06163781,-0.16452694,0.06141448,-0.29922888,0.8037231,0.85703737,0.037910588,0.23993474,0.2913068,-0.19603628,0.15986781,0.6374038,-0.69592327,0.1617937,-0.15786324
2.2502754,-0.31669673,0.7675653,-0.008718624,0.0673227,1.0216651,0.0078974515,0.030695736,-0.26211002,-0.062803544,0.37204462,-0.24333294,0.08541939,-0.60805416,-0.13237563,-0.040339857,0.54517686,-0.13647428,0.12175444,-0.010067932,-0.11534794,0.054792564,-0.17892802,0.06903216,-0.30736825,0.78689814,0.84586513,0.03498669,0.24800006,0.2886141,-0.183769,0.15586813,0.6557172,-0.7016494,0.16895527,-0.15030782
2.223768,-0.30996296,0.7691839,-0.01153759,0.061532877,1.0124294,0.012672678,0.054929256,-0.2587706,-0.06108571,0.350062,-0.23660906,0.086322546,-0.6049088,-0.11523095,-0.04927224,0.45670384,-0.10407385,0.11777833,-0.017562002,-0.1022563,0.04685076,-0.19153607,0.074410334,-0.3136301,0.77185136,0.8357254,0.034307882,0.25197428,0.2822542,-0.17072228,0.15127528,0.6802391,-0.70876473,0.17617452,-0.14037165
2.1953213,-0.3084085,0.77073866,-0.015240035,0.05645512,1.0108927,0.01830706,0.0805341,-0.2582608,-0.05610697,0.33335415,-0.22911349,0.08879453,-0.60426223,-0.101092815,-0.056239188,0.3836809,-0.06677871,0.11386719,-0.02455533,-0.09080516,0.038845517,-0.20324871,0.07544772,-0.31863832,0.76052666,0.8276012,0.033190653,0.2543802,0.27719784,-0.15801856,0.14767508,0.7060023,-0.71762943,0.18245539,-0.12943682
2.1651232,-0.3053092,0.77238953,-0.019285947,0.050925545,1.014576,0.02629833,0.11003888,-0.25883618,-0.05448787,0.32433647,-0.22024985,0.0890788,-0.60534954,-0.08780718,-0.0633816,0.31177294,-0.021927558,0.10801895,-0.03394269,-0.07775192,0.030374173,-0.21579877,0.076125324,-0.3304592,0.7568768,0.8235849,0.032521307,0.25248015,0.2738393,-0.14459218,0.14278519,0.72831106,-0.7266902,0.18817586,-0.118735954
2.1348662,-0.29999766,0.77354574,-0.024278555,0.04356634,1.0238887,0.045186073,0.13139856,-0.2541806,-0.05356741,0.330295,-0.20448911,0.08296141,-0.5974935,-0.07590768,-0.06382078,0.25759763,0.02047272,0.10007158,-0.04437675,-0.061220273,0.02001236,-0.22470573,0.08037301,-0.3451783,0.76177603,0.818227,0.039871454,0.2493124,0.2664362,-0.1294741,0.13462153,0.74684644,-0.73544973,0.19242275,-0.110658206
2.1315045,-0.3167798,0.7743958,-0.031990074,0.038987987,1.0431275,0.045139194,0.1512295,-0.2503686,-0.047834657,0.32517636,-0.19086719,0.07424694,-0.59599006,-0.0676226,-0.05772987,0.22597924,0.053369388,0.09415417,-0.054325823,-0.04680808,0.013440903,-0.22393611,0.0848146,-0.36033472,0.7648023,0.8138681,0.046363577,0.2529211,0.2684435,-0.11831729,0.11812523,0.74948126,-0.73738515,0.19715679,-0.11569295
2.1005406,-0.31821465,0.7746326,-0.041137636,0.032419294,1.0575765,0.04082799,0.16267729,-0.22767286,-0.045000352,0.3428032,-0.16182786,0.05388697,-0.5922924,-0.049733497,-0.05513896,0.2232365,0.06577857,0.08518035,-0.062371004,-0.024960563,0.0077786148,-0.21160853,0.095024526,-0.376749,0.756598,0.8094613,0.056200422,0.25729156,0.2667815,-0.10286796,0.09976141,0.7615013,-0.7447791,0.20292419,-0.11684142
2.0788255,-0.31374353,0.7745681,-0.04529109,0.028175218,1.0678374,0.04145938,0.15719283,-0.20294341,-0.040316977,0.39460656,-0.11667908,0.028900702,-0.5842792,-0.040686294,-0.056272104,0.29162487,0.060177267,0.076220386,-0.065684214,-0.008592859,0.0056460723,-0.19373655,0.10029547,-0.3888396,0.7622371,0.8119424,0.07056318,0.2527788,0.26512456,-0.09386689,0.08902061,0.7704909,-0.7537765,0.2042048,-0.11144083
2.0578742,-0.31419107,0.7745848,-0.046130914,0.023159707,1.0695672,0.042125344,0.14288867,-0.18640164,-0.034078456,0.43610388,-0.08463795,0.0130966045,-0.5700438,-0.027902916,-0.060088195,0.32950035,0.05457075,0.06947924,-0.06656082,0.0026469566,0.004951343,-0.17899054,0.10386885,-0.39557582,0.7820437,0.8118255,0.08307063,0.24146535,0.256048,-0.08925089,0.079827674,0.77345395,-0.7581817,0.20228308,-0.113913774
2.0370746,-0.31578913,0.77493614,-0.04600811,0.017632704,1.0704849,0.040254936,0.1246295,-0.16572616,-0.026867786,0.48769537,-0.04226105,-0.006050151,-0.54923284,-0.010715932,-0.06835617,0.36823422,0.043140963,0.05921792,-0.06785327,0.015513457,0.0037941337,-0.16054013,0.10885498,-0.40461507,0.80766654,0.8126179,0.09811151,0.22649378,0.24523965,-0.0849593,0.068742305,0.77600527,-0.76322687,0.19952154,-0.11736016
2.0269992,-0.32287282,0.7753138,-0.04577116,0.010773787,1.0727656,0.033019498,0.09702182,-0.13743153,-0.018293368,0.5687951,0.01845169,-0.035053242,-0.51804364,0.014541805,-0.08370772,0.43434525,0.02047281,0.040144097,-0.07192421,0.03453121,0.0025471523,-0.13389394,0.11540471,-0.42384654,0.84462553,0.8173554,0.11678863,0.20542055,0.23388276,-0.0774599,0.04879853,0.7782202,-0.7715196,0.19522248,-0.12224162
2.0215755,-0.31632745,0.7768555,-0.042197004,0.0043900157,1.0628278,0.031174824,0.05379522,-0.10465141,-0.01602378,0.66537756,0.06429221,-0.06250344,-0.46515676,0.041143313,-0.11444421,0.4291755,-0.01401636,0.023426406,-0.07742022,0.056976635,-0.0013828129,-0.11444155,0.13566387,-0.4647078,0.86543995,0.8338378,0.123771586,0.17034426,0.22221872,-0.067395106,0.025670528,0.79068,-0.773116,0.19096264,-0.13728236
1.9914972,-0.2900827,0.7779355,-0.039312333,-0.0046119425,1.0619748,0.04599318,-0.0049367547,-0.06582905,-0.013489665,0.7908083,0.10775266,-0.0907763,-0.40790865,0.07558006,-0.14522724,0.4316337,-0.04766129,0.009783767,-0.07756153,0.08113464,-0.005662188,-0.09135475,0.16035809,-0.48971367,0.8930156,0.8488202,0.13586713,0.13036998,0.19383669,-0.058066025,0.0064883083,0.8100246,-0.7751687,0.18453376,-0.1545229
