0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.471517,0.631212,0.756079,0.006635,0.024762,0.059571,-0.997895,-0.555086,0.116465,0.26514,0.447787,0.017374,-0.052875,-0.195948,0.023444,-0.13285,0.727292,-0.464142,-0.03884,-0.020514,0.108201,0.05929,-0.011361,0.15699,-0.357364,0.720562,0.840177,0.182807,0.190911,0.205228,-0.010416,-0.156819,0.731163,-0.659891,0.156555,-0.267715
0.461773,0.631131,0.761441,0.008574,0.029169,0.043566,-0.998588,-0.522585,0.099522,0.242406,0.437681,0.022424,-0.05069,-0.172888,0.018165,-0.161595,0.673382,-0.42778,-0.039869,-0.016512,0.115281,0.056059,0.018655,0.131346,-0.368765,0.793616,0.837631,0.206152,0.169306,0.204796,-0.020493,-0.150876,0.781692,-0.67571,0.190017,-0.2492
0.452892,0.630947,0.767229,0.009934,0.033123,0.02666,-0.999046,-0.489988,0.079363,0.205522,0.451528,0.01431,-0.054973,-0.143748,0.012917,-0.192041,0.608802,-0.387761,-0.041131,-0.009522,0.118228,0.050055,0.040597,0.120904,-0.387577,0.876166,0.842147,0.212734,0.123421,0.206647,-0.028448,-0.142224,0.823221,-0.695229,0.214666,-0.216206
0.444345,0.63059,0.772317,0.010918,0.036348,0.010218,-0.999227,-0.462443,0.061949,0.16271,0.496144,-0.006514,-0.062371,-0.117077,0.00892,-0.222,0.54742,-0.350666,-0.043866,-0.000652,0.117874,0.042988,0.059826,0.127842,-0.410041,0.946609,0.862679,0.206744,0.064107,0.202774,-0.034369,-0.132041,0.847399,-0.715938,0.230472,-0.175993
0.435709,0.630051,0.775903,0.011987,0.038702,-0.004523,-0.999169,-0.441093,0.052709,0.123197,0.568445,-0.035668,-0.068772,-0.100234,0.006337,-0.249328,0.501785,-0.322143,-0.047726,0.008932,0.115488,0.036085,0.077129,0.146916,-0.422389,0.994877,0.885683,0.202818,0.012362,0.204902,-0.036958,-0.117079,0.862972,-0.736805,0.223666,-0.147109
0.426748,0.62934,0.777695,0.01401,0.04008,-0.017245,-0.998949,-0.427151,0.049425,0.082776,0.660281,-0.067766,-0.072552,-0.097205,0.005115,-0.273833,0.478875,-0.303829,-0.051861,0.018945,0.112505,0.03005,0.099263,0.170989,-0.409306,1.012316,0.89435,0.21198,-0.013205,0.204268,-0.039513,-0.09661,0.873353,-0.758137,0.20438,-0.127971
0.417393,0.628448,0.777893,0.017249,0.040499,-0.02892,-0.998612,-0.415982,0.050081,0.041412,0.760893,-0.098355,-0.071891,-0.106529,0.004493,-0.297276,0.475966,-0.293881,-0.055311,0.028894,0.110172,0.02463,0.130046,0.193902,-0.370506,0.999301,0.88259,0.230145,-0.004005,0.200733,-0.047003,-0.075672,0.886128,-0.780415,0.17329,-0.12128
0.407755,0.627441,0.776856,0.021688,0.040531,-0.040506,-0.998121,-0.404048,0.05272,-0.00107,0.859767,-0.122239,-0.074246,-0.12312,0.003902,-0.321296,0.485998,-0.289699,-0.05771,0.038152,0.108911,0.019589,0.16162,0.214005,-0.316592,0.975117,0.854482,0.242054,0.031422,0.189062,-0.055036,-0.053104,0.896165,-0.802497,0.149898,-0.124594
0.397998,0.626387,0.775183,0.026213,0.040657,-0.052688,-0.997439,-0.387897,0.053944,-0.042959,0.949442,-0.132013,-0.073846,-0.140749,0.001843,-0.346229,0.499058,-0.287114,-0.059117,0.046033,0.1083,0.014795,0.194351,0.231292,-0.258534,0.950421,0.819699,0.243666,0.072401,0.172103,-0.065203,-0.03436,0.906745,-0.826685,0.1355,-0.131173
0.388202,0.625487,0.773246,0.030847,0.041182,-0.065999,-0.996492,-0.366437,0.053529,-0.083814,1.024045,-0.132295,-0.075303,-0.156475,-0.001831,-0.372499,0.510887,-0.28425,-0.059643,0.052076,0.10766,0.010456,0.217283,0.234126,-0.207804,0.935647,0.788508,0.251592,0.104306,0.150101,-0.072408,-0.01612,0.921647,-0.85116,0.133836,-0.137102
0.378354,0.624834,0.771651,0.034645,0.042021,-0.08048,-0.995267,-0.34067,0.047946,-0.125581,1.082005,-0.112833,-0.08616,-0.167922,-0.008075,-0.399419,0.516008,-0.278307,-0.059659,0.056421,0.106237,0.006758,0.231297,0.232686,-0.168863,0.927172,0.767036,0.25996,0.118485,0.126809,-0.08003,0.001425,0.937145,-0.869979,0.140282,-0.138361
0.368373,0.62447,0.770686,0.037237,0.042922,-0.095729,-0.993784,-0.311607,0.032424,-0.16974,1.122111,-0.076654,-0.098193,-0.175164,-0.016975,-0.426379,0.513073,-0.268343,-0.059837,0.059462,0.103546,0.003717,0.237737,0.233341,-0.146225,0.921408,0.758631,0.261473,0.116863,0.104713,-0.088074,0.012224,0.947434,-0.882188,0.14793,-0.136277
0.358114,0.624456,0.770239,0.039234,0.043592,-0.111345,-0.99205,-0.280459,0.012841,-0.212966,1.143889,-0.038873,-0.109374,-0.180859,-0.028056,-0.453561,0.505912,-0.255548,-0.060263,0.061448,0.09955,0.001213,0.237841,0.235481,-0.13762,0.914617,0.762726,0.255613,0.107048,0.084127,-0.093628,0.016357,0.948934,-0.886478,0.152881,-0.135994
0.347529,0.624734,0.770347,0.040354,0.043813,-0.126516,-0.990175,-0.248971,-0.006693,-0.253015,1.146367,-0.005094,-0.12672,-0.186233,-0.041061,-0.479239,0.495919,-0.240558,-0.060547,0.062854,0.094321,-0.00098,0.234882,0.236022,-0.133608,0.902535,0.771687,0.243819,0.095934,0.065421,-0.097506,0.016325,0.940799,-0.883719,0.151612,-0.139278
0.336562,0.62525,0.770947,0.040545,0.043491,-0.140299,-0.988322,-0.217833,-0.024008,-0.288111,1.129325,0.002248,-0.126301,-0.192865,-0.055377,-0.501211,0.485553,-0.225122,-0.059127,0.0643,0.088032,-0.002827,0.232266,0.231567,-0.124937,0.882148,0.777007,0.22945,0.08816,0.048424,-0.101185,0.01533,0.924872,-0.875754,0.142944,-0.145325
0.40714288,0.6114675,0.7685427,0.048328064,0.04083608,-0.100607656,-0.9637588,-0.22818428,0.015928788,-0.2613485,1.0178502,-0.14357296,-0.10589427,-0.2810577,-0.0046292543,-0.4902597,0.43992746,-0.2539159,0.012783073,0.08403322,0.11711035,0.017269712,0.271516,0.21367313,-0.17806792,0.8368795,0.8179113,0.20689517,0.08978784,0.009121634,-0.094586626,0.0035376996,0.8225814,-0.8486837,0.085633025,-0.1877113
0.4062546,0.61373675,0.7659363,0.048232302,0.042699546,-0.12593198,-0.9641649,-0.19568947,-0.0046366025,-0.29533818,1.0328609,-0.15735579,-0.10196314,-0.32219648,-0.03247501,-0.5216018,0.44066542,-0.21865612,0.015788347,0.094409585,0.10220043,0.02208098,0.26990652,0.20094542,-0.15925416,0.84443426,0.8255569,0.21590763,0.08808009,-0.0065130666,-0.10190938,0.027437493,0.7979053,-0.85473514,0.07461615,-0.18186674
0.39979213,0.6140882,0.7632937,0.048347242,0.044375643,-0.1404162,-0.96370083,-0.17249905,-0.019720124,-0.32569858,1.0424606,-0.18854806,-0.09217398,-0.3562563,-0.054065973,-0.5359415,0.43551987,-0.19040298,0.022550993,0.10398434,0.08746225,0.025204599,0.2640402,0.18709242,-0.14940634,0.8451297,0.8299669,0.21989542,0.08804594,-0.021431655,-0.110457115,0.05181794,0.7742876,-0.8592553,0.064348295,-0.17669263
0.37967026,0.6089543,0.76090074,0.0476737,0.044353805,-0.1637872,-0.96537364,-0.16216207,-0.026148887,-0.33598655,1.0417519,-0.231202,-0.078400485,-0.3905492,-0.07659344,-0.54944015,0.43652147,-0.17193916,0.032206077,0.11237781,0.07767765,0.030628823,0.25711793,0.17680174,-0.14925802,0.8515619,0.8316501,0.22367531,0.08500427,-0.03911063,-0.12025115,0.06965846,0.7484081,-0.85488856,0.054828823,-0.1789953
0.36941266,0.6045989,0.7581833,0.046638858,0.045157284,-0.19038302,-0.95602083,-0.16084728,-0.0340143,-0.32898158,1.0439662,-0.27766564,-0.059210557,-0.425175,-0.09308006,-0.56170905,0.43863094,-0.15225767,0.03789555,0.11885594,0.06890381,0.03834358,0.24723756,0.17202462,-0.14663108,0.8511114,0.8248529,0.22572747,0.08765286,-0.050738156,-0.12801076,0.08273266,0.71395844,-0.8511009,0.044215813,-0.17529981
