0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
4.943766,-2.346516,0.757703,0.055835,-0.044636,-0.006496,-0.997421,-0.701855,0.018479,-0.051416,0.178988,-0.069166,-0.047461,0.23514,0.179514,-0.140857,0.273354,-0.215816,-0.015753,0.080033,0.117872,0.039077,0.282212,0.269906,-0.394672,0.791543,0.814181,0.019257,0.04077,-0.085396,-0.115098,0.11423,0.573153,-0.773095,-0.033058,-0.222418
4.989099,-2.346509,0.75284,0.04957,-0.044567,0.004306,-0.997767,-0.72237,0.00488,-0.048574,0.262186,-0.020031,-0.024384,0.282305,0.162784,-0.102161,0.306658,-0.150616,0.002008,0.100451,0.102818,0.038571,0.310071,0.244249,-0.34619,0.799417,0.799813,0.05539,0.07948,-0.080191,-0.124303,0.116617,0.558145,-0.752414,-0.021484,-0.243064
5.035122,-2.346469,0.746993,0.037081,-0.042274,0.009686,-0.998371,-0.74259,-0.028767,-0.046327,0.406653,0.06178,0.030155,0.304732,0.131981,-0.067433,0.388831,-0.046923,0.03324,0.116219,0.078991,0.042055,0.316465,0.206819,-0.302961,0.838608,0.788521,0.100619,0.108205,-0.057384,-0.138294,0.114612,0.554412,-0.737321,0.005621,-0.248567
5.080746,-2.346378,0.737668,0.020777,-0.039016,0.01049,-0.998967,-0.743144,-0.057267,-0.027431,0.53679,0.087429,0.007761,0.280176,0.097409,-0.027848,0.547017,0.093924,0.102923,0.125743,0.047579,0.050547,0.298294,0.169375,-0.269642,0.899689,0.787615,0.146043,0.125376,-0.022621,-0.151316,0.112828,0.561643,-0.726187,0.041354,-0.244711
5.124418,-2.346675,0.736382,0.003676,-0.035769,0.010323,-0.9993,-0.715955,-0.082862,0.003434,0.621749,0.053181,0.032491,0.195144,0.065957,0.003632,0.77558,0.270177,0.159733,0.129978,0.013685,0.062889,0.258895,0.137668,-0.246084,0.965421,0.798449,0.182236,0.129394,0.012099,-0.160315,0.120251,0.585749,-0.719053,0.07937,-0.233077
5.166133,-2.347389,0.739796,-0.015093,-0.034207,0.012025,-0.999228,-0.673056,-0.109922,0.03632,0.662734,-0.005279,0.060914,0.069673,0.012075,0.010596,1.00239,0.380879,0.234853,0.128628,-0.018827,0.075641,0.206778,0.108578,-0.226591,1.017178,0.81346,0.203362,0.124999,0.034496,-0.174246,0.147158,0.629154,-0.723414,0.115432,-0.200839
5.207442,-2.348365,0.745619,-0.032012,-0.033168,0.012451,-0.998859,-0.607575,-0.137433,0.060101,0.661261,-0.063807,0.064845,-0.07636,-0.015761,0.03422,1.182731,0.341066,0.213755,0.121185,-0.047704,0.085234,0.148915,0.083837,-0.20539,1.041679,0.825542,0.209642,0.123169,0.046957,-0.194519,0.195063,0.684971,-0.746397,0.142256,-0.141406
5.248961,-2.349427,0.752989,-0.044387,-0.03265,0.012127,-0.998407,-0.52651,-0.162183,0.071915,0.629832,-0.109109,0.073547,-0.220947,-0.042012,0.044531,1.297305,0.239661,0.209203,0.113,-0.068987,0.09001,0.090285,0.063721,-0.184557,1.036349,0.833708,0.202538,0.130639,0.059003,-0.218108,0.252026,0.740255,-0.787081,0.154065,-0.070608
5.291078,-2.350741,0.760289,-0.054353,-0.032262,0.010164,-0.997949,-0.439294,-0.185367,0.076361,0.586487,-0.137937,0.082291,-0.357266,-0.082813,0.041879,1.341924,0.157513,0.188116,0.10376,-0.083123,0.091168,0.034828,0.047194,-0.170898,1.006808,0.840844,0.181756,0.14503,0.078117,-0.239374,0.299473,0.784953,-0.829989,0.154476,-0.011065
5.334158,-2.352331,0.766287,-0.062156,-0.031835,0.005805,-0.997542,-0.350708,-0.205871,0.07469,0.543605,-0.158896,0.089372,-0.474024,-0.132752,0.023271,1.319156,0.067629,0.135159,0.09202,-0.092068,0.08932,-0.017837,0.037547,-0.164324,0.965186,0.849271,0.144185,0.161145,0.108906,-0.245337,0.327518,0.811469,-0.860167,0.157129,0.028702
